	Author_ID	Aff_Order	First	Middle	Last	Department	Institute	City	Country
0	1	1	Selim	Melvin	Atay	Neuroscience and Neurotechnology	Middle East Technical University	Ankara	Turkey
1	2	1	Katja		Heuer	Center for Research and Interdisciplinarity	Université Paris Descartes	Paris	France
2	2	2				Department of Neuropsychology	Max Planck Institute for Human Cognitive and Brain Sciences	Leipzig	Germany
3	3	1	Eneko		Uruñuela		Basque Center on Cognition, Brain and Language	San Sebastián-Donostia	Spain
4	3	2					University of the Basque Country (EHU UPV)	San Sebastián-Donostia	Spain
5	4	1	Saskia		Bollmann	Centre for Advanced Imaging	The University of Queensland	Brisbane	Australia
6	5	1	Davide		Momi	Department of Neuroscience, Imaging and Clinical Sciences	"University ""G. d'Annunzio"" of Chieti"	Chieti	Italy
7	6	1	Antonino		Vallesi	Department of Neuroscience & Padova Neuroscience Center	University of Padova	Padova	Italy
8	6	2				Brain Imaging and Neural Dynamics Research Group	IRCCS San Camillo Hospital	Venice	Italy
9	7	1	Michael		Dayan	Human Neuroscience Platform	Fondation Campus Biotech Geneva	Geneva	Switzerland
10	8	1	R.	Todd	Constable	Yale MRRC	Yale University	New Haven CT	USA
11	8	2				School of Medicine	Yale University	New Haven CT	USA
12	9	1	Nikoloz		Sirmpilatze	Functional Imaging Laboratory	German Primate Center - Leibniz Institute for Primate Research	Göttingen	Germany
13	10	1	Fabrizio		De Vico Fallani	ARAMIS team	Inria	Paris	France
14	10	2				Paris Brain Institute	Sorbonne Universites	Paris	France
15	11	1	Yu-Fang		Yang	Department of Psychology	Würzburg University	Würzburg	Germany
16	12	1	Samuel		Guay		University of Montréal	Montréal, Québec	Canada
17	13	1	Gregory		Kiar	Montréal Neurological Institute	McGill University	Montréal, Québec	Canada
18	14	1	Roxane		Licandro		Medical University of Vienna	Vienna	Austria
19	14	2					TU Wien	Vienna	Austria
20	15	1	AmanPreet		Badhwar	Multiomics Investigation of Neurodegenerative Diseases (MIND) Lab	University of Montréal	Montréal, Québec	Canada
21	15	2				Centre de Recherche de l'Institut Universitaire de Gériatrie de Montréal	University of Montréal	Montréal, Québec	Canada
22	15	3				Département de pharmacologie et physiologie	University of Montréal	Montréal, Québec	Canada
23	16	1	César		Caballero-Gaudes		Basque Center on Cognition, Brain and Language	San Sebastián-Donostia	Spain
24	17	1	Lucina	Q.	Uddin	Department of Psychology	University of Miami	Florida	USA
25	18	1	Matteo		Visconti di Oleggio Castello	Helen Wills Neuroscience Institute	University of California, Berkley	Berkeley	USA
26	19	1	Dorien	C.	Huijser	Erasmus School of Social and Behavioural Sciences	Erasmus University Rotterdam	Rotterdam	The Netherlands
27	19	2				Developmental and Educational Psychology	Leiden University	Leiden	The Netherlands
28	20	1	Eleftherios		Garyfallidis	Intelligent Systems Engineering	Indiana University	Bloomington IN	USA
29	21	1	Davide		Poggiali	Padova Neuroscience Center	University of Padova	Padova	Italy
30	22	1	Shawn	A.	Rhoads	Department of Psychology	Georgetown University	Washington D.C.	USA
31	23	1	Stephanie		Noble	Radiology & Biomedical Imaging	Yale University	New Haven CT	USA
32	24	1	Angela	R.	Laird	Department of Physics	Florida International University	Miami FL	USA
33	25	1	Nasim		Anousheh	Intelligent Systems Engineering	Indiana University	Bloomington IN	USA
34	26	1	Thomas	S.	Hartmann		Philipps Universität	Marburg	Germany
35	27	1	Damion	V.	Demeter	Psychology Department	The University of Texas at Austin	Austin TX	USA
36	28	1	Tiago		Quendera		Champalimaud Research	Lisbon	Portugal
37	29	1	Stefano		Moia		Basque Center on Cognition, Brain and Language	San Sebastián-Donostia	Spain
38	29	2					University of the Basque Country (EHU UPV)	San Sebastián-Donostia	Spain
39	30	1	Jon Haitz		Legarreta	Computer Science	Université de Sherbrooke	Sherbrooke	Canada
40	31	1	Camille		Maumet	Empenn ERL U 1228   IRISA UMR 6074	Univ Rennes, Inria, CNRS, Inserm	Rennes	France
41	32	1	Angela		Tam		Perceiv Research Inc.	Montréal, Québec	Canada
42	33	1	Xihe		Xie	Department of Neuroscience	Weill Cornell Medicine	New York City	USA
43	34	1	Andrew		Doyle	McGill Centre for Integrative Neuroscience	McGill University	Montréal, Québec	Canada
44	35	1	Felipe		Meneguzzi	School of Technology	Pontifical Catholic University of Rio Grande do Sul	Porto Alegre	Brazil
45	36	1	Laura		Tomaz da Silva	School of Technology	Pontifical Catholic University of Rio Grande do Sul	Porto Alegre	Brazil
46	37	1	Bramsh	Q.	Chandio	Department of Intelligent Systems Engineering	Indiana University	Bloomington IN	USA
47	38	1	Ai Wern		Chung	Fetal-Neonatal Neuroimaging and Developmental Science Center	Boston Children's Hospital, Harvard Medical School	Boston	USA
48	39	1	Anders		Eklund	Department of Biomedical Engineering	Linköping University	Linköping	Sweden
49	39	2				Department of Computer and Information Science	Linköping University	Linköping	Sweden
50	39	3				Center for Medical Image Science and Visualization (CMIV)	Linköping University	Linköping	Sweden
51	40	1	Guillaume		Dumas	Department of Psychiatry	University of Montréal	Montréal, Québec	Canada
52	40	2				Mila	University of Montréal	Montréal, Québec	Canada
53	41	1	Valentina		Borghesani	Centre de Recherche de l'Institut Universitaire de Gériatrie de Montréal	University of Montréal	Montréal, Québec	Canada
54	42	1	Gael	P.	Varoquaux	Parietal	Inria	Saclay	France
55	42	2				Montréal Neurological Institute	McGill University	Montréal, Québec	Canada
56	43	1	Christopher	R.	Madan	Psychology	University of Nottingham	Nottingham	UK
57	44	1	Samuel	A.	Nastase	Princeton Neuroscience Institute	Princeton University	Princeton NJ	USA
58	45	1	Saampras		Ganesan	Systems Neuroscience	Melbourne Neuropsychiatry Centre	Melbourne	Australia
59	45	2				Department of Biomedical Engineering	The University of Melbourne	Melbourne	Australia
60	46	1	Hao-Ting		Wang	Sackler Centre for Consciousness Science	University of Sussex	Brighton	UK
61	46	2				Department of Neuroscience	Brighton and Sussex Medical School, University of Sussex	Brighton	UK
62	46	3				Sussex Neuroscience	University of Sussex	Brighton	UK
63	47	1	Katherine	L.	Bottenhorn	Department of Psychology	Florida International University	Miami FL	USA
64	48	1	Aysha		Motala	Department of Psychology	University of Western Ontario	London ON	Canada
65	49	1	Horea-Ioan		Ioanas	Biological Engineering	MIT	Cambridge	USA
66	49	2				D-ITET	ETH Zurich	Zurich	Switzerland
67	50	1	Andrija		Stajduhar	Croatian Institute for Brain Research, School of Medicine	University of Zagreb	Zagreb	Croatia
68	50	2				Andrija Stampar School of Public Health, School of Medicine	University of Zagreb	Zagreb	Croatia
69	51	1	P. Christiaan		Klink	Department of Vision & Cognition	Netherlands Institute for Neuroscience	Amsterdam	The Netherlands
70	52	1	Gustav		Nilsonne	Department of Clinical Neuroscience	Karolinska Institutet	Stockholm	Sweden
71	52	2				Department of Psychology	Stockholm University	Stockholm	Sweden
72	53	1	Ina		Thome	Department of Psychiatry and Psychotherapy	Philipps Universität	Marburg	Germany
